AppId,Title,Target_Users
com.FriendsApp.SymptomChecker,Symptom Checker,1 Patients / Health-conscious Individuals
com.smsrobot.period,Period and Ovulation Tracker,1 Patients / Health-conscious Individuals
com.picmonic.androidapp,Picmonic Nursing Study Guides,2 Healthcare Professionals / Medical Students
com.unbound.android.ubnc2l,Nursing Central,2 Healthcare Professionals / Medical Students
com.hospital.games.happy.doctor,Happy Doctor: Clinic Game,3 Other / Unclear Audience
gov.va.mobilehealth.ncptsd.mindfulnesscoach,Mindfulness Coach,1 Patients / Health-conscious Individuals
com.bearable,"Symptom, Mood & Period Tracker",1 Patients / Health-conscious Individuals
com.farlex.dictionary.medical,Medical Dictionary by Farlex,2 Healthcare Professionals / Medical Students
com.mobisystems.msdict.embedded.wireless.oxford.concisemedical,Oxford Medical Dictionary,3 Other / Unclear Audience
com.lbrc.PeriodCalendar,Period Tracker and Calendar,1 Patients / Health-conscious Individuals
com.yboga.dreamhospital,Dream Hospital: Doctor Tycoon,3 Other / Unclear Audience
com.symptomate.mobile,Symptomate  Symptom checker,1 Patients / Health-conscious Individuals
net.futasaji.medicine,Cute Pill: Medication Reminder,1 Patients / Health-conscious Individuals
mobi.littlebytes.android.bloodglucosetracker,Blood Glucose Tracker,1 Patients / Health-conscious Individuals
com.pslove.periodtracker,Blood: Period & Cycle Tracker,1 Patients / Health-conscious Individuals
com.healthifyme.basic,Healthify: AI Diet & Fitness,1 Patients / Health-conscious Individuals
co.lenord.frvbb,Optimum Wellness Academy,3 Other / Unclear Audience
com.drhouse.drhouse,DrHouse: Online Doctor Service,1 Patients / Health-conscious Individuals
com.swordhealth.guarda,Sword Health,1 Patients / Health-conscious Individuals
org.blubblub.app.speechblubs,Speech Blubs: Language Therapy,1 Patients / Health-conscious Individuals
com.arkinfosoft.mediplus,Doctor Diary,2 Healthcare Professionals / Medical Students
com.atomengineapps.teachmeanatomy,Teach Me Anatomy,2 Healthcare Professionals / Medical Students
com.zurich.livewell,LiveWell - Make Health a Habit,1 Patients / Health-conscious Individuals
com.dietdoctor.EatApp,Diet Doctor  low-carb & keto,1 Patients / Health-conscious Individuals
com.rotemmaozdev.helloworld,Gestational Diabetes Tracker,1 Patients / Health-conscious Individuals
com.modernhealth.modernhealth,Modern Health,3 Other / Unclear Audience
com.healthians.main.healthians,Healthians -Full Body Checkup,1 Patients / Health-conscious Individuals
com.seasector.emotionalintelligence,Sintelly: CBT Therapy Chatbot,1 Patients / Health-conscious Individuals
com.museLIVE.quabbleapp,Quabble: Daily Mental Health,1 Patients / Health-conscious Individuals
io.quarkux.drugindexplus,Egypt's Drug Guide,2 Healthcare Professionals / Medical Students
com.sillens.shapeupclub,Lifesum: AI Calorie Tracker,1 Patients / Health-conscious Individuals
com.gamehouse.hm1,Heart's Medicine - Season One,3 Other / Unclear Audience
co.elfie.app,Elfie - Health & Rewards,1 Patients / Health-conscious Individuals
com.mypossibleself.app,랱yPossibleSelf: Mental Health,1 Patients / Health-conscious Individuals
com.sebferrer.life_notes,Life Notes - Symptom Tracking,1 Patients / Health-conscious Individuals
com.hct2.nursegrid.android.web,NurseGrid: Nursing Calendar,2 Healthcare Professionals / Medical Students
com.elink.fittrackhealth.pro,Hume Health,1 Patients / Health-conscious Individuals
com.dorular.medicaldictionary,Medical Dictionary Offline,2 Healthcare Professionals / Medical Students
com.optimaxInvestments.GlassesUSA,Prescription Scanner,3 Other / Unclear Audience
com.sgs.emhq.android,EMERGENCY HQ: firefighter game,3 Other / Unclear Audience
com.keephealthpro.android,Keep Health,1 Patients / Health-conscious Individuals
life.femin.pregnancy.period,Period Tracker竊뛒regnancy팂emin,1 Patients / Health-conscious Individuals
com.teachmeseries.tmsurgery,Teach Me Surgery,2 Healthcare Professionals / Medical Students
app.disciplined.productive.structured.habit.tracker,Disciplined - Habit Tracker,3 Other / Unclear Audience
com.pocketprep.android.fitness,Pocket Prep Fitness 2025,2 Healthcare Professionals / Medical Students
com.northcube.sleepcycle,Sleep Cycle: Sleep Tracker,1 Patients / Health-conscious Individuals
com.threesixtyentertainment.nesn,Emergency Plus,1 Patients / Health-conscious Individuals
betwixt.web.app,Betwixt봗he Mental Health Game,1 Patients / Health-conscious Individuals
com.studio.hellohabit,HelloHabit - Habit Tracker,3 Other / Unclear Audience
com.sleepmonitor.aio,Sleep Monitor: Sleep Tracker,1 Patients / Health-conscious Individuals
com.innodiets.cardi,Cardi Health: Heart Monitoring,1 Patients / Health-conscious Individuals
com.anatomist.app,Anatomist - The Anatomy Game,2 Healthcare Professionals / Medical Students
com.wombatapps.carbmanager,Carb Manager밙eto Diet Tracker,1 Patients / Health-conscious Individuals
com.talkspace.talkspaceapp,Talkspace Therapy & Counseling,1 Patients / Health-conscious Individuals
gov.cdc.ncird.vaccineschedule,CDC Vaccine Schedules,2 Healthcare Professionals / Medical Students
cura.com.cura,ACL & Knee Physical Therapy,1 Patients / Health-conscious Individuals
com.cherrypickgames.myhospital,My Hospital: Build. Farm. Heal,3 Other / Unclear Audience
com.brc.PeriodTrackerDiary,Period Tracker & Ovulation,1 Patients / Health-conscious Individuals
jp.pokemon.pokemonsleep,Pok챕mon Sleep,3 Other / Unclear Audience
com.pocketprep.android.nursing,Pocket Prep Nursing 2025,2 Healthcare Professionals / Medical Students
com.mhealth.manadr,MaNaDr for Patient,1 Patients / Health-conscious Individuals
health.mydiabetes,"MyDiabetes: Meal, Carb Tracker",1 Patients / Health-conscious Individuals
org.trinity.health,Trinity Health MyChart,1 Patients / Health-conscious Individuals
com.siv,Care to Translate,2 Healthcare Professionals / Medical Students
com.carecard.carecard,CareCard: Prescription Savings,1 Patients / Health-conscious Individuals
in.evolve.android,Evolve: Self-Care & Meditation,1 Patients / Health-conscious Individuals
com.cbt.mindhealthy,MindHealth: CBT Mental Health,1 Patients / Health-conscious Individuals
com.azaknordive.body.temperature.tracker.thermometer.fever.checker.diary.history.info.monitor.records.calc.hypo,Body Temperature Fever Tracker,1 Patients / Health-conscious Individuals
com.dochalo.dochalo,symplr Clinical Communications,2 Healthcare Professionals / Medical Students
com.bicyclehealth.patient.app,Bicycle Health,1 Patients / Health-conscious Individuals
com.montunosoftware.dosecast,Dosecast - Pill Reminder App,1 Patients / Health-conscious Individuals
com.helloheart.app.healthplan,Hello Heart  For heart health,1 Patients / Health-conscious Individuals
com.hts.ambulance.doctor.rescue.games,Ambulance Doctor Hospital Game,3 Other / Unclear Audience
co.mindpeers,MindPeers: Online Therapy,1 Patients / Health-conscious Individuals
com.alt.goodmorning,"Routine Planner, Habit Tracker",3 Other / Unclear Audience
com.all_mbbs.allmedicalbook,MBBS all medical book,2 Healthcare Professionals / Medical Students
ch.innovation6.tom.android,TOM: Pill Tracker & Med Timer,1 Patients / Health-conscious Individuals
com.hippo_kids_games.doctor_scientist.hospital_laboratory,Doctor: Hospital Laboratory,3 Other / Unclear Audience
com.aanqod,Neurology Question of the Day,2 Healthcare Professionals / Medical Students
com.fatbelly.firstaidsandemergencytechniques,First Aid and Emergency Techni,1 Patients / Health-conscious Individuals
