AppId,Title,group,Nb_Reviews,Latest_Review_Date,Nb_Installs,Free,eligible
com.shinynewapp.migraineinsight2,Migraine Insight: Tracker,HSC,100,2025-09-01,"10,000+",True,True
com.PepiPlay.PepiHospital,Pepi Hospital: Learn & Care,,100,2025-09-02,"100,000,000+",True,False
net.nutrilio,Nutrilio: Food Tracker & Water,HSC,100,2025-09-03,"1,000,000+",True,True
com.sleepwave.app,Sleepwave: Alarm & Tracker,HSC,100,2025-08-29,"500,000+",True,True
com.medpresso.testzapp.mieanatphysio,Anatomy & Physiology MIE NCLEX,,32,2024-10-29,"10,000+",True,False
com.dsxpress.mycabinet,MyCabinet: Medicine Management,,15,2025-09-01,"1,000+",True,False
com.hiro.patient,HiRO Patient,,16,2024-09-02,"50,000+",True,False
com.azerion.mergehospital,Merge Hospital by Operate Now,other,100,2025-08-30,"100,000+",True,True
com.bbi.accorg.cardiosource.american_college_of_cardiology,ACC Guideline Clinical App,HSP,100,2025-08-15,"100,000+",True,True
com.rstream.mindfulness,Mindfulness & Sleep Meditation,,22,2025-06-16,"10,000+",True,False
io.quarkux.drugindexplus,Egypt's Drug Guide,HSP,100,2025-08-12,"50,000+",True,True
com.vyrty.android.patient,Sync.MD Personal Health Record,,12,2024-11-13,"5,000+",True,False
com.mysunshine.pippin,Pippin Speech Therapy,,14,2024-11-29,"5,000+",True,False
np.com.midas.merodoctor,Mero Doctor,HSC,100,2025-08-26,"100,000+",True,True
com.motivated.app,Motivated: Habit Tracker,other,100,2025-09-02,"100,000+",True,True
com.sleep.sleeptracker.sleepsounds.sleepcycle,Sleep Tracker: Sleep Recorder,,32,2025-08-25,"50,000+",True,False
com.medpresso.Lonestar.ccmedrn,Med-Surg Nursing Clinical Comp,,7,2025-08-15,"10,000+",True,False
com.unbound.android.cqtal,Taber's Medical Dictionary...,,100,2025-01-08,"100,000+",True,False
com.symptomate.mobile,Symptomate – Symptom checker,HSC,100,2025-08-24,"500,000+",True,True
org.surgery101.android.surgery101,Surgery 101,,13,2020-01-18,"1,000+",False,False
com.irisoncology.irisapp,Iris Oncology,,0,,"1,000+",True,False
com.remente.app,"Remente: Self Care, Wellbeing",HSC,100,2025-08-23,"1,000,000+",True,True
com.medpresso.Lonestar.saundersdx,Saunders Nursing Drug Handbook,HSP,100,2025-08-02,"100,000+",True,True
org.fairview.mychart,M Health Fairview,HSC,100,2025-07-22,"50,000+",True,True
app.avocation.avocation,Avocation Goal & Habit Tracker,other,100,2025-07-28,"1,000,000+",True,True
com.levelex.pantheon,Top Derm: Dermatology Game,,9,2025-01-22,"10,000+",True,False
com.risesci.nyx,RISE: Sleep Tracker,HSC,100,2025-09-04,"1,000,000+",True,True
com.fatbelly.firstaidsandemergencytechniques,First Aid and Emergency Techni,HSC,100,2025-07-20,"100,000+",True,True
mytown.hospital,My Town : Hospital,,100,2025-07-14,"100,000+",False,False
com.devsoldiers.calendar.vesta.pills,Birth control pill reminder,,100,2024-11-27,"100,000+",True,False
com.rxgo,RxGo: Prescription Rx Coupons,,27,2025-07-03,"5,000+",True,False
com.doctor.surgerymaster,Surgery Master,other,100,2025-09-01,"10,000,000+",True,True
com.medpresso.Lonestar.labtests,Manual Lab & Diagnostic Tests,,24,2025-01-07,"50,000+",True,False
com.unbound.android.ubgol,Gynecology and Obstetrics,,28,2024-09-18,"100,000+",True,False
com.idea.PhoneDoctorPlus2,Phone Doctor Plus,other,100,2025-09-03,"500,000+",True,True
de.moodpath.android,MindDoc: Mental Health Support,HSC,100,2025-08-01,"1,000,000+",True,True
com.medpresso.Lonestar.ferrica,Ferri's Clinical Advisor,,20,2022-02-10,"10,000+",True,False
com.chargehealth.clientapp,Charge Health,,1,2025-01-23,"1,000+",True,False
de.streuer.alexander.anatomyquizpro,Anatomy Quiz Pro,,33,2025-06-25,"5,000+",False,False
femia.menstruationtracker.fertilityapp,Ovulation & Period Tracker,HSC,100,2025-07-03,"500,000+",True,True
com.usmleworld,UWorld Medical Prep App,HSP,100,2025-07-31,"100,000+",True,True
com.trainest,Trainest Personal Fitness Plan,,64,2025-06-13,"10,000+",True,True
com.samsung.android.wear.shealth,Samsung Health,,100,2025-09-03,"50,000,000+",True,False
com.tanosapps.meditanos,Self Therapy: Mental Tests,HSC,76,2025-08-30,"100,000+",True,True
xyz.thefor.habits.habits,TheFor: Habit Tracker,other,100,2025-09-03,"500,000+",True,True
com.medpresso.Lonestar.rndiseases,Diseases & Disorders: Nursing,,38,2025-05-13,"100,000+",True,False
com.medpresso.Lonestar.currdxtxpsych,CURRENT Dx Tx Psychiatry,,12,2023-09-22,"10,000+",True,False
com.aicure.android.ima,Patient Connect,,6,2025-04-04,"5,000+",True,False
com.something.android.simplepharmacology,Simple Pharmacology,HSP,100,2025-08-30,"100,000+",True,True
com.joymore.simhospital,Sim Hospital Tycoon:Idle Games,,42,2025-06-11,"50,000+",True,False
